Requests,Strategy,reqiredTime[s],RoboTaxis,avDrivingDist[km],avPassengerDist[km],avWaitingTime[min],avPowerConsumption[kWh],avEmissions[gCO2],avEnergyCost[€],avFleetCost[€],avTotalCost[€],avCostPerPassengerKm[€],cpuTime[s]
300,simple,26148,10,4.11,2.09,193,0.62,246.92,0.2,0.73,0.92,0.44,115
300,look_ahead  900s,26363,10,4.07,2.09,197,0.61,244.61,0.2,0.73,0.93,0.44,200
300,simple,11380,25,4.11,2.09,68,0.62,247.0,0.2,0.79,0.99,0.47,83
300,look_ahead  900s,10479,25,4.01,2.09,66,0.6,241.43,0.19,0.73,0.92,0.44,116
300,shared  LF=1.4  RT=1.0,8236,48,3.15,2.46,30,0.47,189.3,0.15,1.1,1.25,0.51,105
300,simple,5994,50,4.14,2.08,28,0.62,249.09,0.2,0.83,1.03,0.5,86
300,look_ahead  900s,5561,50,4.0,2.1,25,0.6,240.49,0.19,0.77,0.96,0.46,90
300,shared  LF=1.2  RT=1.0,7035,62,3.42,2.26,24,0.51,205.56,0.16,1.21,1.38,0.61,109
300,simple,3596,100,4.19,2.09,11,0.63,252.01,0.2,1.0,1.2,0.57,73
300,look_ahead  900s,3489,100,3.92,2.12,4,0.59,236.04,0.19,0.97,1.16,0.55,102
300,shared  LF=1.4  RT=4.0,4765,126,3.14,2.49,9,0.47,188.6,0.15,1.67,1.82,0.73,117
300,shared  LF=1.2  RT=4.0,4119,152,3.41,2.38,8,0.51,204.83,0.16,1.74,1.9,0.8,120
300,simple,3221,200,4.25,2.09,7,0.64,255.55,0.2,1.79,1.99,0.96,107
300,look_ahead  900s,2305,200,3.56,2.16,0,0.53,213.97,0.17,1.28,1.45,0.67,155
